,DISCRETE MATHEMATICS,DISCRETE MATHEMATICS.1,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III.1,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0,0.7,1.0,0.7,0.7,0.8,0.7,0.7,0.9,0.9,0.9,0,217.0,0.9864,170.0,0.7727,1.0,0.8800000000000001,0.9571428571428572,0.8857142857142857,1.0,0.72
1,0.8,0.8,0.9,0.9,1.0,0.9,0.7,0.7,0.7,0.8,0,0.8,1.0,0.8,0.8,0.8,0.7,0.6,0.9,0.7,0.9,0,186.0,0.8455,176.0,0.8,1.0,0.8230000000000001,0.7285714285714285,0.8428571428571429,0.9,0.78
2,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0,0.8,1.0,0.0,0.0,0.7,0.4,0.7,0.8,0.7,0.9,0,214.0,0.9727,115.0,0.5227,0.8636363636363636,0.0,0.9142857142857143,0.8285714285714286,1.0,0.38
3,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0,1.0,1.0,0.6,0.7,0.9,0.7,1.0,0.9,0.9,1.0,0,213.0,0.9682000000000001,184.0,0.8364,1.0,0.9019999999999999,0.9428571428571428,0.9571428571428572,0.98,0.78
4,0.9,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0,0.7,1.0,0.6,0.4,0.7,0.5,0.7,0.9,0.5,0.9,0,206.0,0.9364000000000001,145.0,0.6591,1.0,0.798,0.8857142857142857,0.8285714285714286,0.96,0.58
5,0.8,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0,0.5,1.0,0.5,0.6,0.7,0.5,0.8,0.9,1.0,1.0,0,205.0,0.9318,150.0,0.6818,1.0,0.807,0.9571428571428572,0.9428571428571428,0.92,0.56
6,0.9,0.9,0.9,1.0,1.0,0.9,0.8,0.8,0.9,0.8,0,0.8,0.9,0.6,0.6,0.9,0.7,0.8,0.9,0.8,0.9,0,200.0,0.9090999999999999,169.0,0.7682,1.0,0.8390000000000001,0.8428571428571429,0.8714285714285714,0.94,0.72
7,0.9,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0,0.7,0.9,0.4,0.7,0.7,0.6,0.6,0.9,0.8,0.8,0,210.0,0.9545,150.0,0.6818,1.0,0.818,0.9428571428571428,0.8142857142857143,0.96,0.62
8,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0,0.0,0.9,0.0,0.4,0.0,0.0,0.4,0.9,0.5,0.8,0,209.0,0.95,64.0,0.2909,0.7272727272727273,0.0,0.8857142857142857,0.7428571428571429,0.98,0.08
9,1.0,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,0,0.9,1.0,0.5,0.6,0.9,0.8,0.9,0.9,0.9,1.0,0,215.0,0.9773,177.0,0.8045,1.0,0.891,0.9285714285714286,0.9428571428571428,1.0,0.74
10,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.7,0.8,0,0.9,0.9,0.6,0.7,0.5,0.6,0.7,0.6,0.9,0.7,0,183.0,0.8318,150.0,0.6818,1.0,0.757,0.7714285714285715,0.7285714285714285,0.86,0.66
11,0.9,0.9,0.9,1.0,1.0,1.0,0.7,0.9,0.9,0.9,0,0.8,1.0,0.8,0.8,0.9,0.7,0.7,1.0,0.9,0.9,0,205.0,0.9318,184.0,0.8364,1.0,0.884,0.8714285714285714,0.9142857142857143,0.96,0.8
12,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0,1.0,1.0,0.6,0.6,0.8,0.6,0.8,0.9,0.8,0.9,0,207.0,0.9409000000000001,170.0,0.7727,1.0,0.857,0.9,0.8857142857142857,0.96,0.72
13,0.9,0.8,0.9,0.9,1.0,1.0,0.8,0.9,0.7,0.9,0,0.8,1.0,0.0,0.5,0.6,0.0,0.7,0.8,0.5,0.8,0,198.0,0.9,111.0,0.5045,0.8636363636363636,0.0,0.8142857142857143,0.7714285714285715,0.94,0.38
14,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0,1.0,1.0,0.7,0.7,0.8,0.7,0.9,1.0,0.9,0.9,0,216.0,0.9818,183.0,0.8318,1.0,0.907,0.9428571428571428,0.9428571428571428,1.0,0.78
15,1.0,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0,0.6,0.9,0.4,0.5,0.7,0.4,0.8,0.9,0.9,0.8,0,210.0,0.9545,138.0,0.6273,1.0,0.791,0.8571428571428571,0.8571428571428571,1.0,0.52
16,1.0,0.8,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0,0.8,1.0,0.7,0.7,0.9,0.7,0.9,0.9,0.9,1.0,0,211.0,0.9591,180.0,0.8182,1.0,0.889,0.8714285714285714,0.9428571428571428,1.0,0.76
17,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0,0.9,1.0,0.7,0.8,0.8,0.6,0.9,0.9,0.9,0.9,0,216.0,0.9818,178.0,0.8090999999999999,1.0,0.8949999999999999,0.9428571428571428,0.9142857142857143,1.0,0.76
18,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0,1.0,1.0,0.5,0.7,0.9,0.6,0.9,1.0,0.8,0.9,0,212.0,0.9635999999999999,176.0,0.8,1.0,0.882,0.9285714285714286,0.9285714285714286,0.98,0.74
19,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.9,0,0.9,1.0,0.6,0.6,0.9,0.6,0.9,0.9,0.9,0.9,0,215.0,0.9773,172.0,0.7817999999999999,1.0,0.8800000000000001,0.9285714285714286,0.9142857142857143,1.0,0.72
20,0.9,1.0,1.0,0.9,1.0,1.0,0.7,0.8,0.7,0.8,0,0.7,0.9,0.4,0.4,0.8,0.6,0.6,0.8,0.5,0.6,0,199.0,0.9045,135.0,0.6136,1.0,0.759,0.7857142857142857,0.6857142857142857,0.96,0.58
21,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.9,0.9,0,0.8,1.0,0.4,0.6,0.7,0.5,0.7,0.9,0.7,0.9,0,212.0,0.9635999999999999,150.0,0.6818,1.0,0.8230000000000001,0.8857142857142857,0.8571428571428571,1.0,0.6
22,0.9,1.0,0.8,0.9,1.0,1.0,0.8,1.0,0.8,0.9,0,0.8,1.0,0.6,0.7,0.7,0.6,0.9,1.0,0.9,0.8,0,201.0,0.9136,166.0,0.7545,1.0,0.834,0.9,0.9142857142857143,0.92,0.68
23,0.7,0.8,0.9,0.9,1.0,0.9,0.7,0.8,0.8,1.0,0,0.0,0.8,0.0,0.0,0.0,0.4,0.6,0.9,0.5,0.8,0,189.0,0.8591,65.0,0.2955,0.7272727272727273,0.0,0.8142857142857143,0.7571428571428571,0.88,0.08
24,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0,1.0,1.0,0.7,0.8,0.9,0.6,0.9,1.0,1.0,1.0,0,217.0,0.9864,189.0,0.8591,1.0,0.923,0.9571428571428572,0.9857142857142858,1.0,0.8
25,0.9,1.0,0.9,1.0,1.0,1.0,0.8,1.0,0.9,0.9,0,0.9,1.0,0.7,0.6,0.8,0.6,0.7,1.0,0.9,1.0,0,209.0,0.95,174.0,0.7908999999999999,1.0,0.8699999999999999,0.9285714285714286,0.9428571428571428,0.96,0.72
26,0.9,0.8,0.9,1.0,1.0,0.9,0.8,0.9,0.7,0.9,0,0.7,0.9,0.4,0.5,0.5,0.4,0.6,0.8,0.5,0.9,0,198.0,0.9,129.0,0.5864,1.0,0.743,0.8142857142857143,0.7714285714285715,0.94,0.5
27,1.0,0.8,1.0,0.8,1.0,1.0,0.9,0.7,0.8,0.9,0,0.6,0.9,0.0,0.5,0.5,0.0,0.6,0.9,0.4,0.8,0,200.0,0.9090999999999999,101.0,0.4591,0.8636363636363636,0.0,0.8,0.7571428571428571,0.96,0.32
28,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,0.9,0,0.7,1.0,0.8,0.7,0.8,0.6,0.8,0.9,0.7,1.0,0,212.0,0.9635999999999999,171.0,0.7773,1.0,0.8699999999999999,0.8857142857142857,0.9,1.0,0.72
29,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.9,0,0.8,0.9,0.5,0.6,0.4,0.4,0.8,0.9,0.9,0.8,0,205.0,0.9318,141.0,0.6409,1.0,0.786,0.8714285714285714,0.8571428571428571,0.96,0.54
30,0.9,1.0,0.9,0.9,1.0,1.0,0.9,0.9,0.7,0.8,0,0.7,1.0,0.4,0.5,0.6,0.0,0.7,0.8,0.9,0.9,0,200.0,0.9090999999999999,126.0,0.5727,0.9318181818181818,0.0,0.8428571428571429,0.8571428571428571,0.94,0.44
31,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0,0.9,1.0,0.8,0.8,0.8,0.6,0.8,0.9,0.9,1.0,0,215.0,0.9773,182.0,0.8272999999999999,1.0,0.9019999999999999,0.9285714285714286,0.9285714285714286,1.0,0.78
32,0.9,0.8,0.7,0.9,1.0,1.0,0.7,0.8,0.8,0.9,0,0.0,0.9,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.9,0,191.0,0.8682000000000001,38.0,0.17270000000000002,0.6136363636363636,0.0,0.8,0.5428571428571428,0.9,0.0
33,1.0,1.0,0.9,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0,0.6,1.0,0.4,0.4,0.7,0.6,0.7,0.8,0.4,0.8,0,210.0,0.9545,134.0,0.6091,1.0,0.782,0.9,0.7571428571428571,0.98,0.54
34,1.0,1.0,0.9,1.0,1.0,1.0,0.7,0.8,0.8,0.9,0,0.4,1.0,0.5,0.5,0.5,0.6,0.7,0.9,0.6,0.8,0,205.0,0.9318,132.0,0.6,1.0,0.766,0.8285714285714286,0.8142857142857143,0.98,0.5
35,0.9,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.8,1.0,0,0.6,1.0,0.5,0.4,0.6,0.4,0.7,0.9,0.8,0.8,0,209.0,0.95,134.0,0.6091,1.0,0.78,0.9285714285714286,0.8428571428571429,0.96,0.5
36,1.0,0.9,1.0,1.0,1.0,1.0,0.7,1.0,0.9,0.9,0,0.9,1.0,0.5,0.7,0.9,0.7,0.8,0.9,0.9,0.9,0,213.0,0.9682000000000001,174.0,0.7908999999999999,1.0,0.8800000000000001,0.9,0.9,1.0,0.74
37,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0,0.9,1.0,0.8,0.6,0.9,0.8,0.9,0.8,0.9,1.0,0,213.0,0.9682000000000001,184.0,0.8364,1.0,0.9019999999999999,0.9428571428571428,0.9142857142857143,0.98,0.8
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0,0.9,1.0,0.6,0.8,0.9,0.6,0.8,0.9,0.9,0.9,0,217.0,0.9864,177.0,0.8045,1.0,0.8949999999999999,0.9571428571428572,0.9,1.0,0.76
39,0.9,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9,0.9,0,0.9,1.0,0.7,0.7,0.7,0.6,0.6,0.9,0.6,1.0,0,211.0,0.9591,168.0,0.7636000000000001,1.0,0.861,0.9142857142857143,0.8571428571428571,0.98,0.72
40,1.0,1.0,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0,0.9,1.0,0.4,0.6,0.6,0.5,0.7,0.9,0.9,0.8,0,193.0,0.8773,150.0,0.6818,1.0,0.78,0.8714285714285714,0.8571428571428571,0.88,0.6
41,0.8,1.0,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0,0.7,0.9,0.4,0.6,0.8,0.6,0.7,0.9,0.5,0.9,0,202.0,0.9182,150.0,0.6818,1.0,0.8,0.9142857142857143,0.8142857142857143,0.92,0.62
42,0.9,1.0,0.9,0.9,1.0,0.8,0.7,0.9,0.8,0.9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.8,0.5,0.8,0,195.0,0.8864000000000001,54.0,0.2455,0.6590909090909091,0.0,0.8571428571428571,0.7714285714285715,0.9,0.0
43,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0,0.8,1.0,0.5,0.4,0.7,0.4,0.7,0.9,0.9,0.9,0,212.0,0.9635999999999999,146.0,0.6636,1.0,0.8140000000000001,0.9285714285714286,0.8857142857142857,0.98,0.56
44,0.6,0.5,0.7,0.6,0.7,0.7,0.0,0.4,0.4,0.4,0,0.0,0.4,0.0,0.7,0.5,0.4,0.0,0.0,0.0,0.4,0,124.0,0.5636,60.0,0.2727,0.75,0.0,0.35714285714285715,0.17142857142857143,0.66,0.32
45,0.8,1.0,0.9,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0,0.7,1.0,0.4,0.6,0.5,0.6,0.8,0.9,0.7,0.9,0,202.0,0.9182,145.0,0.6591,1.0,0.7889999999999999,0.9142857142857143,0.8714285714285714,0.92,0.56
46,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0,0.8,0.9,0.7,0.7,0.8,0.7,0.9,0.9,0.6,0.8,0,213.0,0.9682000000000001,169.0,0.7682,1.0,0.868,0.9428571428571428,0.8285714285714286,0.98,0.74
47,0.8,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.8,1.0,0,0.6,1.0,0.4,0.5,0.5,0.7,0.8,0.9,0.7,0.9,0,203.0,0.9227000000000001,142.0,0.6455,1.0,0.784,0.8857142857142857,0.8714285714285714,0.94,0.54
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0,0.7,1.0,0.4,0.6,0.7,0.5,0.7,0.9,1.0,0.9,0,216.0,0.9818,150.0,0.6818,1.0,0.8320000000000001,0.9428571428571428,0.9,1.0,0.58
49,0.9,1.0,0.9,0.9,1.0,1.0,0.7,0.8,0.7,0.9,0,0.7,1.0,0.7,0.6,0.7,0.6,0.7,0.9,0.8,0.8,0,197.0,0.8955,158.0,0.7182000000000001,1.0,0.807,0.8,0.8428571428571429,0.94,0.66
50,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0,0.0,1.0,0.0,0.0,0.5,0.0,0.6,0.8,0.6,0.9,0,213.0,0.9682000000000001,71.0,0.3227,0.7272727272727273,0.0,0.9,0.8,1.0,0.1
51,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0,1.0,1.0,0.8,0.7,0.9,0.8,0.9,1.0,0.9,1.0,0,217.0,0.9864,194.0,0.8817999999999999,1.0,0.9339999999999999,1.0,0.9714285714285714,0.98,0.84
52,0.9,1.0,1.0,0.9,1.0,1.0,0.8,0.9,0.9,0.9,0,0.7,1.0,0.0,0.6,0.6,0.4,0.8,0.9,0.9,0.9,0,207.0,0.9409000000000001,132.0,0.6,0.9318181818181818,0.0,0.9,0.9,0.96,0.46
53,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0,1.0,1.0,0.8,0.7,0.9,0.8,0.7,0.9,0.9,0.9,0,215.0,0.9773,188.0,0.8545,1.0,0.916,0.9285714285714286,0.8857142857142857,1.0,0.84
54,0.7,1.0,0.9,0.8,1.0,0.9,0.9,0.9,0.8,1.0,0,0.9,1.0,0.6,0.6,0.8,0.5,0.8,1.0,0.6,0.9,0,192.0,0.8727,164.0,0.7455,1.0,0.8089999999999999,0.9,0.8857142857142857,0.86,0.68
55,0.8,0.8,0.9,0.7,1.0,1.0,0.6,0.9,0.7,0.9,0,0.8,1.0,0.7,0.6,0.8,0.8,0.8,0.8,0.7,0.6,0,187.0,0.85,164.0,0.7455,1.0,0.798,0.7857142857142857,0.7571428571428571,0.88,0.74
56,1.0,0.9,0.9,1.0,1.0,1.0,0.8,1.0,0.9,0.9,0,0.8,1.0,0.5,0.6,0.7,0.6,0.8,1.0,1.0,1.0,0,211.0,0.9591,164.0,0.7455,1.0,0.852,0.9142857142857143,0.9714285714285714,0.98,0.64
57,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0,1.0,1.0,0.7,0.8,0.8,0.8,0.6,0.9,0.9,0.9,0,216.0,0.9818,184.0,0.8364,1.0,0.909,0.9428571428571428,0.8714285714285714,1.0,0.82
58,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.8,0.9,0,0.8,0.9,0.7,0.8,0.6,0.6,0.7,0.9,0.9,0.8,0,211.0,0.9591,164.0,0.7455,1.0,0.852,0.9142857142857143,0.8428571428571429,0.98,0.7
59,0.9,0.9,0.9,1.0,1.0,1.0,0.8,0.9,0.8,0.9,0,0.0,1.0,0.4,0.5,0.6,0.5,0.8,0.7,0.7,0.9,0,204.0,0.9273,117.0,0.5317999999999999,0.9318181818181818,0.0,0.8571428571428571,0.8142857142857143,0.96,0.4
60,0.9,0.9,0.8,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0,0.8,1.0,0.6,0.7,0.8,0.6,0.8,1.0,0.6,0.9,0,203.0,0.9227000000000001,167.0,0.7591,1.0,0.841,0.9285714285714286,0.8857142857142857,0.92,0.7
61,0.9,1.0,0.8,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0,0.0,0.9,0.0,0.6,0.6,0.5,0.7,0.8,0.8,0.8,0,203.0,0.9227000000000001,107.0,0.4864,0.8636363636363636,0.0,0.8857142857142857,0.8,0.94,0.34
62,0.8,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0,0.9,1.0,0.7,0.8,0.8,0.6,0.8,1.0,0.9,0.9,0,203.0,0.9227000000000001,179.0,0.8135999999999999,1.0,0.868,0.9285714285714286,0.9285714285714286,0.92,0.76
63,0.8,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0,0.8,1.0,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0,208.0,0.9455,178.0,0.8090999999999999,1.0,0.877,0.9571428571428572,0.9142857142857143,0.94,0.76
64,0.7,1.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,1.0,0,0.4,1.0,0.7,0.7,0.6,0.6,0.9,0.9,0.9,0.9,0,206.0,0.9364000000000001,154.0,0.7,1.0,0.818,0.9285714285714286,0.9142857142857143,0.94,0.6
65,0.8,1.0,0.9,0.9,1.0,1.0,0.8,1.0,0.8,0.9,0,0.7,1.0,0.8,0.7,0.9,0.7,0.8,0.9,0.5,0.8,0,201.0,0.9136,171.0,0.7773,1.0,0.845,0.9,0.8142857142857143,0.92,0.76
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0,0.7,1.0,0.0,0.6,0.7,0.4,0.7,0.9,0.9,0.7,0,218.0,0.9909000000000001,130.0,0.5909,0.9318181818181818,0.0,0.9714285714285714,0.8285714285714286,1.0,0.48
67,0.9,1.0,0.9,0.8,0.9,0.8,1.0,1.0,1.0,0.9,0,0.8,1.0,0.5,0.5,0.7,0.7,0.8,0.9,0.8,0.9,0,198.0,0.9,158.0,0.7182000000000001,1.0,0.8089999999999999,0.9857142857142858,0.8857142857142857,0.86,0.64
68,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0,0.7,1.0,0.5,0.7,0.8,0.5,0.7,1.0,0.4,0.9,0,213.0,0.9682000000000001,155.0,0.7045,1.0,0.836,0.9428571428571428,0.8428571428571429,0.98,0.64
69,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,0,0.5,1.0,0.8,0.7,0.8,0.7,0.8,0.9,0.7,0.9,0,217.0,0.9864,166.0,0.7545,1.0,0.8699999999999999,0.9571428571428572,0.8714285714285714,1.0,0.7
70,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,0,0.8,1.0,0.4,0.6,0.7,0.4,0.7,0.9,0.9,0.9,0,212.0,0.9635999999999999,149.0,0.6773,1.0,0.82,0.8857142857142857,0.8857142857142857,1.0,0.58
71,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0,0.8,1.0,0.6,0.8,0.8,0.6,0.7,0.9,1.0,0.9,0,213.0,0.9682000000000001,171.0,0.7773,1.0,0.873,0.9428571428571428,0.9,0.98,0.72
72,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0,0.8,1.0,0.7,0.8,0.7,0.6,0.8,0.8,0.9,0.8,0,211.0,0.9591,167.0,0.7591,1.0,0.859,0.9142857142857143,0.8428571428571429,0.98,0.72
73,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,0,0.8,1.0,0.6,0.7,0.8,0.6,0.7,0.9,0.7,0.9,0,217.0,0.9864,165.0,0.75,1.0,0.868,0.9571428571428572,0.8571428571428571,1.0,0.7
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.8,0.8,0.9,0.7,1.0,1.0,1.0,1.0,0,220.0,1.0,196.0,0.8909,1.0,0.945,1.0,1.0,1.0,0.84
75,0.9,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9,0,0.9,1.0,0.6,0.6,0.8,0.7,0.9,0.9,0.9,1.0,0,214.0,0.9727,174.0,0.7908999999999999,1.0,0.882,0.9571428571428572,0.9428571428571428,0.98,0.72
76,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.6,1.0,0.8,0.8,0.8,0.8,1.0,0.9,0.8,1.0,0,217.0,0.9864,180.0,0.8182,1.0,0.9019999999999999,1.0,0.9428571428571428,0.98,0.76
77,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0,0.9,1.0,0.8,0.7,0.9,0.8,0.9,0.9,0.9,0.9,0,216.0,0.9818,187.0,0.85,1.0,0.916,0.9428571428571428,0.9142857142857143,1.0,0.82
78,0.9,1.0,0.8,1.0,1.0,1.0,0.8,1.0,0.9,0.9,0,0.9,1.0,0.6,0.6,0.9,0.6,0.8,0.9,0.9,0.9,0,206.0,0.9364000000000001,171.0,0.7773,1.0,0.857,0.9285714285714286,0.9,0.94,0.72
