DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,27,30,30,18,18,9,10,10,0,30,10,24,24,27,24,20,10,20,10,0,212.0,9.636,199.0,9.045,44,9.34
30,30,27,24,30,14,18,10,9,9,0,21,7,12,15,18,12,0,0,18,7,0,201.0,9.136,110.0,5.0,41,0
30,30,30,30,30,18,20,10,10,9,0,30,9,24,27,30,21,18,10,20,9,0,217.0,9.864,198.0,9.0,44,9.43
30,30,24,27,30,16,20,9,9,9,0,24,8,18,18,24,21,20,9,20,10,0,204.0,9.273,172.0,7.818,44,8.55
27,24,24,30,30,18,18,9,10,9,0,24,8,12,12,21,18,14,8,18,9,0,199.0,9.045,144.0,6.545,44,7.80
30,30,30,30,30,18,16,10,9,5,0,24,8,18,0,21,12,14,8,18,9,0,208.0,9.455,132.0,6.0,41,0
30,30,30,30,30,16,18,9,9,9,0,24,9,18,18,18,24,14,8,18,9,0,211.0,9.591,160.0,7.273,44,8.43
30,30,30,30,30,16,16,9,7,6,0,24,6,21,18,21,18,12,8,18,9,0,204.0,9.273,155.0,7.045,44,8.16
30,30,30,30,30,18,20,10,9,7,0,30,9,12,24,21,21,18,9,18,9,0,214.0,9.727,171.0,7.773,44,8.75
30,30,27,27,30,18,16,9,9,10,0,27,9,18,21,18,21,16,8,18,9,0,206.0,9.364,165.0,7.5,44,8.43
30,30,30,30,30,18,18,10,10,10,0,30,9,21,21,27,21,20,10,18,8,0,216.0,9.818,185.0,8.409,44,9.11
24,30,27,27,30,16,18,9,10,9,0,0,6,0,18,12,18,14,8,18,10,0,200.0,9.091,104.0,4.727,38,0
30,30,24,27,30,16,18,8,8,4,0,0,4,0,0,0,15,10,5,16,7,0,195.0,8.864,57.0,2.591,32,0
30,30,30,27,30,18,20,9,10,10,0,24,9,24,27,24,30,14,9,20,10,0,214.0,9.727,191.0,8.682,44,9.20
30,30,30,27,30,18,16,9,9,9,0,30,7,18,21,18,18,16,8,18,8,0,208.0,9.455,162.0,7.364,44,8.41
30,30,30,27,30,18,18,10,9,9,0,27,7,24,24,30,21,16,9,18,9,0,211.0,9.591,185.0,8.409,44,9.00
30,30,30,30,30,18,20,9,9,9,0,27,9,27,24,24,21,18,10,20,9,0,215.0,9.773,189.0,8.591,44,9.18
30,30,30,27,30,16,16,10,9,8,0,27,9,24,24,30,21,18,10,20,9,0,206.0,9.364,192.0,8.727,44,9.05
27,30,30,27,30,18,16,10,9,9,0,21,7,21,18,18,18,18,8,18,9,0,206.0,9.364,156.0,7.091,44,8.23
30,30,30,30,30,18,16,9,9,10,0,27,8,21,21,21,18,18,8,18,9,0,212.0,9.636,169.0,7.682,44,8.66
30,30,30,30,30,18,18,10,9,10,0,21,8,15,21,24,21,16,9,18,9,0,215.0,9.773,162.0,7.364,44,8.57
30,30,30,27,30,18,18,10,9,10,0,27,8,24,24,21,24,16,9,18,9,0,212.0,9.636,180.0,8.182,44,8.91
30,30,27,30,30,16,16,9,10,9,0,24,9,21,15,21,18,14,8,20,9,0,207.0,9.409,159.0,7.227,44,8.32
24,27,27,24,30,12,14,9,10,9,0,0,6,0,12,0,0,0,7,18,10,0,186.0,8.455,53.0,2.409,30,0
30,30,27,30,30,18,18,9,10,10,0,27,8,18,21,21,21,16,7,20,9,0,212.0,9.636,168.0,7.636,44,8.64
30,27,30,27,30,16,16,10,10,9,0,27,7,18,18,18,21,18,9,20,9,0,205.0,9.318,165.0,7.5,44,8.41
30,30,30,27,30,18,16,9,10,9,0,30,7,21,24,18,21,18,10,20,9,0,209.0,9.5,178.0,8.091,44,8.80
30,30,30,27,30,14,16,10,9,9,0,21,9,15,21,18,18,0,7,18,8,0,205.0,9.318,135.0,6.136,42,0
30,30,30,30,30,16,16,9,7,9,0,21,5,12,18,15,18,12,8,16,8,0,207.0,9.409,133.0,6.045,44,7.73
30,27,30,27,30,18,16,9,10,9,0,30,9,24,21,24,21,18,9,18,9,0,206.0,9.364,183.0,8.318,44,8.84
30,30,30,30,30,16,18,10,10,10,0,24,8,27,27,24,21,14,9,18,8,0,214.0,9.727,180.0,8.182,44,8.95
30,30,30,30,30,18,14,9,9,9,0,27,9,21,21,27,24,18,8,20,10,0,209.0,9.5,185.0,8.409,44,8.95
30,27,27,27,30,18,18,9,9,9,0,27,7,18,21,15,18,14,8,20,8,0,204.0,9.273,156.0,7.091,44,8.18
30,27,30,30,30,16,18,9,10,10,0,24,8,18,18,15,18,18,7,20,9,0,210.0,9.545,155.0,7.045,44,8.30
30,30,30,30,30,18,18,9,9,9,0,30,8,21,24,30,18,18,9,20,10,0,213.0,9.682,188.0,8.545,44,9.11
30,30,30,27,30,18,18,10,9,9,0,30,8,21,24,21,21,18,9,18,9,0,211.0,9.591,179.0,8.136,44,8.86
30,27,30,30,30,16,18,9,10,10,0,27,9,21,24,21,21,20,8,20,10,0,210.0,9.545,181.0,8.227,44,8.89
27,30,30,30,30,16,18,9,9,8,0,27,7,21,21,18,18,18,9,18,9,0,207.0,9.409,166.0,7.545,44,8.48
30,27,30,30,30,16,16,10,9,10,0,27,10,21,24,27,27,16,8,18,9,0,208.0,9.455,187.0,8.5,44,8.98
27,30,27,30,30,18,16,9,9,9,0,21,9,21,24,27,27,18,9,20,10,0,205.0,9.318,186.0,8.455,44,8.89
30,27,27,27,30,18,16,9,10,8,0,30,9,21,21,24,21,18,10,20,9,0,202.0,9.182,183.0,8.318,44,8.75
30,27,30,27,30,18,18,10,10,9,0,21,7,24,24,24,21,16,8,18,10,0,209.0,9.5,173.0,7.864,44,8.68
30,27,30,30,30,18,18,9,9,8,0,27,7,21,21,18,18,16,8,20,7,0,209.0,9.5,163.0,7.409,44,8.45
30,30,30,30,30,18,12,9,9,9,0,18,4,12,12,12,12,12,6,14,8,0,207.0,9.409,110.0,5.0,44,7.20
30,30,30,27,30,18,16,9,10,9,0,30,10,18,15,24,12,18,10,18,9,0,209.0,9.5,164.0,7.455,44,8.48
30,30,30,30,30,18,16,9,9,9,0,27,8,12,15,24,18,18,9,18,7,0,211.0,9.591,156.0,7.091,44,8.34
30,30,30,30,30,18,16,10,9,9,0,24,7,18,18,15,21,14,8,18,9,0,212.0,9.636,152.0,6.909,44,8.27
27,30,27,27,30,18,16,9,9,9,0,21,9,21,24,27,27,14,8,18,10,0,202.0,9.182,179.0,8.136,44,8.66
30,30,30,30,30,18,14,10,9,9,0,18,7,18,18,15,12,16,0,18,8,0,210.0,9.545,130.0,5.909,43,0
30,30,30,27,30,16,14,10,9,9,0,24,7,18,21,24,24,14,9,18,7,0,205.0,9.318,166.0,7.545,44,8.43
30,27,27,30,30,18,16,9,9,9,0,27,7,21,21,27,15,12,9,18,9,0,205.0,9.318,166.0,7.545,44,8.43
30,30,30,27,30,18,18,9,9,9,0,21,8,18,15,21,18,14,7,20,9,0,210.0,9.545,151.0,6.864,44,8.20
30,30,30,30,30,18,18,10,10,10,0,27,8,21,24,21,24,18,9,18,9,0,216.0,9.818,179.0,8.136,44,8.98
30,30,30,27,30,18,16,9,9,9,0,27,7,24,21,24,18,16,8,18,7,0,208.0,9.455,170.0,7.727,44,8.59
30,30,30,30,30,16,16,10,10,9,0,30,9,21,21,21,21,18,9,20,9,0,211.0,9.591,179.0,8.136,44,8.86
30,30,30,30,30,18,18,9,9,9,0,24,9,27,24,24,30,18,10,18,10,0,213.0,9.682,194.0,8.818,44,9.25
30,30,30,27,30,18,16,9,10,7,0,30,8,18,18,27,24,20,10,18,9,0,207.0,9.409,182.0,8.273,44,8.84
30,30,30,30,30,18,18,10,9,9,0,30,9,24,21,24,27,18,8,20,10,0,214.0,9.727,191.0,8.682,44,9.20
30,30,30,30,30,18,16,10,9,9,0,15,9,15,21,18,18,14,9,20,9,0,212.0,9.636,148.0,6.727,44,8.18
30,30,27,30,30,18,16,10,10,9,0,27,9,24,27,24,27,14,8,18,9,0,210.0,9.545,187.0,8.5,44,9.02
30,30,30,27,30,18,16,9,10,9,0,24,10,18,15,12,21,18,8,18,9,0,209.0,9.5,153.0,6.955,44,8.23
30,27,30,30,30,18,16,9,10,8,0,27,9,18,21,24,21,18,9,20,9,0,208.0,9.455,176.0,8.0,44,8.73
30,30,30,30,30,18,20,9,10,9,0,30,9,21,21,27,21,18,10,18,9,0,216.0,9.818,184.0,8.364,44,9.09
30,27,30,27,30,18,20,10,9,9,0,27,8,21,15,21,21,18,7,16,9,0,210.0,9.545,163.0,7.409,44,8.48
30,30,30,27,30,18,14,10,9,9,0,21,5,0,0,0,18,0,5,18,9,0,207.0,9.409,76.0,3.455,33,0
30,27,30,30,30,18,18,10,10,10,0,30,9,21,24,27,27,20,9,18,10,0,213.0,9.682,195.0,8.864,44,9.27
30,30,30,27,30,18,16,9,9,10,0,30,8,15,15,21,12,12,9,16,8,0,209.0,9.5,146.0,6.636,44,8.07
30,30,30,30,30,18,16,9,9,10,0,21,6,12,15,12,21,16,5,18,7,0,212.0,9.636,133.0,6.045,44,7.84
30,30,30,27,30,18,18,10,9,9,0,24,9,18,12,24,21,16,7,18,9,0,211.0,9.591,158.0,7.182,44,8.39
30,27,30,27,30,18,20,9,10,10,0,24,8,24,27,27,21,18,10,16,10,0,211.0,9.591,185.0,8.409,44,9.00
30,27,30,21,30,18,20,9,10,9,0,24,8,18,18,27,18,18,8,20,8,0,204.0,9.273,167.0,7.591,44,8.43
30,30,30,27,30,18,16,9,9,9,0,21,8,18,21,12,18,16,7,18,9,0,208.0,9.455,148.0,6.727,44,8.09
30,27,30,30,30,16,18,9,9,7,0,18,7,18,15,18,24,18,7,20,9,0,206.0,9.364,154.0,7.0,44,8.18
30,30,30,27,30,18,16,10,9,10,0,18,8,18,18,15,12,18,7,16,9,0,210.0,9.545,139.0,6.318,44,7.93
30,27,30,27,30,18,14,9,7,5,0,24,7,21,24,24,24,16,9,18,9,0,197.0,8.955,176.0,8.0,44,8.48
30,30,27,30,30,16,18,9,10,9,0,24,7,24,21,21,18,12,8,18,7,0,209.0,9.5,160.0,7.273,44,8.39
30,30,27,30,30,18,18,10,10,10,0,30,10,24,18,30,27,20,10,20,9,0,213.0,9.682,198.0,9.0,44,9.34
27,27,21,24,27,18,16,10,10,9,0,21,8,12,12,12,12,18,9,18,9,0,189.0,8.591,131.0,5.955,44,7.27
30,27,27,24,30,12,14,9,9,8,0,21,8,18,21,12,12,14,7,18,9,0,190.0,8.636,140.0,6.364,44,7.50
30,30,30,30,30,18,16,9,9,10,0,18,6,12,18,12,15,14,7,18,9,0,212.0,9.636,129.0,5.864,44,7.75
30,30,30,30,30,18,18,9,9,9,0,27,9,21,21,27,24,18,10,18,10,0,213.0,9.682,185.0,8.409,44,9.05
30,27,27,27,30,18,16,10,10,9,0,27,8,15,15,24,24,18,9,18,8,0,204.0,9.273,166.0,7.545,44,8.41
30,30,30,30,30,18,18,10,9,9,0,30,9,18,21,27,24,20,9,18,8,0,214.0,9.727,184.0,8.364,44,9.05
27,24,21,27,30,16,10,10,10,9,0,12,6,0,0,12,0,0,9,18,9,0,184.0,8.364,66.0,3.0,33,0
30,30,30,24,30,18,16,9,9,9,0,24,8,21,24,18,21,14,7,18,9,0,205.0,9.318,164.0,7.455,44,8.39
30,27,27,30,30,18,18,9,9,9,0,24,8,21,24,24,21,18,9,20,9,0,207.0,9.409,178.0,8.091,44,8.75
30,30,30,30,30,18,16,10,10,9,0,27,9,21,21,27,21,20,9,18,9,0,213.0,9.682,182.0,8.273,44,8.98
30,30,27,27,30,18,16,9,9,9,0,24,8,18,24,21,21,14,8,20,10,0,205.0,9.318,168.0,7.636,44,8.48
30,30,30,30,30,14,16,9,10,9,0,24,8,15,24,24,24,20,7,20,10,0,208.0,9.455,176.0,8.0,44,8.73
30,30,30,30,30,20,18,10,10,9,0,24,9,18,18,18,24,20,9,20,10,0,217.0,9.864,170.0,7.727,44,8.80
27,30,30,30,30,18,18,9,10,9,0,30,9,24,24,30,27,20,9,20,10,0,211.0,9.591,203.0,9.227,44,9.41
27,30,30,27,30,16,18,10,9,9,0,27,9,24,24,27,24,16,9,20,9,0,206.0,9.364,189.0,8.591,44,8.98
30,30,30,30,30,18,18,10,10,9,0,24,8,18,24,21,21,18,9,18,10,0,215.0,9.773,171.0,7.773,44,8.77
30,30,27,27,30,18,16,10,9,7,0,24,7,21,21,24,18,16,7,18,9,0,204.0,9.273,165.0,7.5,44,8.39
30,30,30,27,30,16,18,9,10,9,0,27,9,21,21,24,24,18,9,20,9,0,209.0,9.5,182.0,8.273,44,8.89
30,30,27,27,30,18,18,10,10,10,0,30,8,21,21,24,21,20,9,20,9,0,210.0,9.545,183.0,8.318,44,8.93
30,24,27,24,30,16,18,9,10,9,0,27,8,24,21,24,21,18,9,20,10,0,197.0,8.955,182.0,8.273,44,8.61
30,30,30,30,30,16,18,9,9,9,0,27,8,21,21,21,18,16,9,20,9,0,211.0,9.591,170.0,7.727,44,8.66
27,30,30,30,30,18,18,10,10,9,0,21,9,18,24,24,21,18,9,20,10,0,212.0,9.636,174.0,7.909,44,8.77
30,27,30,27,30,18,20,9,9,9,0,21,9,24,24,21,21,18,9,18,9,0,209.0,9.5,174.0,7.909,44,8.70
27,30,27,30,30,18,16,9,10,8,0,30,9,24,24,27,21,18,9,18,9,0,205.0,9.318,189.0,8.591,44,8.95
30,30,30,30,30,18,16,9,9,10,0,27,7,21,21,18,15,14,8,18,8,0,212.0,9.636,157.0,7.136,44,8.39
27,27,27,27,27,18,16,9,9,9,0,18,7,18,15,12,15,16,8,18,9,0,196.0,8.909,136.0,6.182,44,7.55
30,27,27,24,30,16,16,10,10,9,0,18,7,15,18,18,18,16,8,20,9,0,199.0,9.045,147.0,6.682,44,7.86
24,24,24,21,27,14,16,10,9,7,0,0,7,12,0,0,12,0,7,18,9,0,176.0,8.0,65.0,2.955,33,0
30,30,30,27,30,18,16,10,10,9,0,24,8,18,21,27,24,18,9,18,10,0,210.0,9.545,177.0,8.045,44,8.80
30,27,30,30,30,16,18,9,9,10,0,30,9,15,15,12,18,16,7,20,9,0,209.0,9.5,151.0,6.864,44,8.18
30,30,27,30,30,20,16,9,10,9,0,27,9,21,18,24,18,18,8,18,9,0,211.0,9.591,170.0,7.727,44,8.66
30,30,30,30,27,16,14,9,9,8,0,21,5,24,18,12,18,14,9,16,10,0,203.0,9.227,147.0,6.682,44,7.95
30,30,30,30,30,16,18,9,10,9,0,27,8,21,21,24,18,14,8,16,9,0,212.0,9.636,166.0,7.545,44,8.59
27,27,27,30,30,18,16,10,10,10,0,27,10,18,21,18,21,14,9,18,9,0,205.0,9.318,165.0,7.5,44,8.41
30,30,30,27,30,18,16,9,10,9,0,27,7,15,18,21,12,16,8,18,9,0,209.0,9.5,151.0,6.864,44,8.18
24,27,27,24,30,16,20,10,10,10,0,27,8,18,18,18,21,16,8,20,10,0,198.0,9.0,164.0,7.455,44,8.23
30,30,30,30,30,20,20,10,10,10,0,30,9,21,24,27,21,18,10,20,10,0,220.0,10.0,190.0,8.636,44,9.32
30,27,30,30,30,18,16,9,10,9,0,12,7,21,21,18,21,18,10,18,10,0,209.0,9.5,156.0,7.091,44,8.30
30,30,30,30,30,16,18,9,9,9,0,12,7,12,21,18,18,12,8,20,8,0,211.0,9.591,136.0,6.182,44,7.89
30,30,30,30,30,16,18,10,9,9,0,30,9,21,18,24,21,20,10,20,9,0,212.0,9.636,182.0,8.273,44,8.95
30,30,27,30,30,18,18,10,10,9,0,30,8,27,21,27,21,18,10,18,9,0,212.0,9.636,189.0,8.591,44,9.11
30,27,30,30,30,16,16,9,10,10,0,24,8,21,18,18,21,18,8,20,9,0,208.0,9.455,165.0,7.5,44,8.48
30,27,30,30,30,16,14,9,10,9,0,24,9,21,12,21,12,14,8,20,10,0,205.0,9.318,151.0,6.864,44,8.09
30,30,30,27,30,18,14,10,9,9,0,21,7,15,12,12,12,10,8,18,8,0,207.0,9.409,123.0,5.591,44,7.50
30,30,30,30,30,18,18,10,10,9,0,30,8,27,24,24,21,16,9,20,9,0,215.0,9.773,188.0,8.545,44,9.16
24,30,30,27,30,18,20,10,10,9,0,18,6,15,12,18,18,18,7,16,10,0,208.0,9.455,138.0,6.273,44,7.86
30,30,30,30,30,16,20,9,10,10,0,30,9,24,27,27,18,20,8,20,10,0,215.0,9.773,193.0,8.773,44,9.27
30,30,30,27,30,18,16,9,10,9,0,27,9,21,27,24,27,18,10,18,9,0,209.0,9.5,190.0,8.636,44,9.07
21,21,24,24,27,12,14,9,9,7,0,0,6,0,12,15,0,0,7,18,9,0,168.0,7.636,67.0,3.045,33,0
27,27,30,30,30,14,16,9,9,7,0,18,6,0,12,15,12,0,6,18,7,0,199.0,9.045,94.0,4.273,39,0
30,27,30,27,30,16,18,10,10,9,0,24,8,21,21,27,24,18,9,18,9,0,207.0,9.409,179.0,8.136,44,8.77
30,30,30,24,30,14,18,10,9,9,0,24,7,24,21,21,21,14,7,18,9,0,204.0,9.273,166.0,7.545,44,8.41
30,30,30,30,30,18,18,9,9,9,0,27,8,24,21,21,21,16,9,20,9,0,213.0,9.682,176.0,8.0,44,8.84
30,30,30,27,30,16,16,10,10,9,0,21,9,15,18,24,21,14,8,18,10,0,208.0,9.455,158.0,7.182,44,8.32
30,30,30,30,30,14,18,9,10,9,0,27,9,18,18,27,24,20,9,20,10,0,210.0,9.545,182.0,8.273,44,8.91
30,30,30,30,27,18,20,10,10,10,0,27,10,21,18,27,24,20,10,20,9,0,215.0,9.773,186.0,8.455,44,9.11
30,30,30,24,30,18,14,9,8,7,0,27,8,21,21,27,27,18,9,18,9,0,200.0,9.091,185.0,8.409,44,8.75
30,27,30,27,30,18,16,9,10,9,0,21,7,18,15,12,15,14,9,18,9,0,206.0,9.364,138.0,6.273,44,7.82
30,30,30,27,30,16,20,9,10,9,0,30,10,24,27,27,27,18,10,20,10,0,211.0,9.591,203.0,9.227,44,9.41
30,27,30,27,30,16,16,10,9,9,0,21,7,18,18,12,18,14,8,18,8,0,204.0,9.273,142.0,6.455,44,7.86
27,21,27,21,30,10,10,8,7,6,0,0,7,15,21,12,24,12,0,16,7,0,167.0,7.591,114.0,5.182,40,0
30,30,30,27,30,14,16,9,10,7,0,27,7,18,21,18,12,14,8,20,8,0,203.0,9.227,153.0,6.955,44,8.09
30,30,30,30,30,18,20,9,9,10,0,27,8,24,15,21,21,18,9,18,9,0,216.0,9.818,170.0,7.727,44,8.77
30,30,30,27,30,18,16,9,9,9,0,27,9,18,21,18,24,18,9,18,9,0,208.0,9.455,171.0,7.773,44,8.61
30,30,30,24,30,18,16,9,9,10,0,18,7,21,21,24,18,16,7,20,8,0,206.0,9.364,160.0,7.273,44,8.32
30,30,30,30,30,14,18,10,9,10,0,21,7,0,0,18,12,14,6,18,8,0,211.0,9.591,104.0,4.727,38,0
30,30,30,27,30,18,16,10,9,9,0,21,7,15,18,18,18,0,8,18,9,0,209.0,9.5,132.0,6.0,42,0
27,30,27,24,30,14,14,9,9,9,0,0,7,0,0,0,0,0,6,20,7,0,193.0,8.773,40.0,1.818,27,0
30,30,30,27,30,16,18,10,10,9,0,24,8,21,18,21,18,14,8,20,10,0,210.0,9.545,162.0,7.364,44,8.45
30,30,30,30,30,18,18,9,10,9,0,24,8,18,21,18,18,18,9,20,10,0,214.0,9.727,164.0,7.455,44,8.59
27,30,27,30,30,18,14,9,9,9,0,27,8,21,18,21,15,18,8,18,8,0,203.0,9.227,162.0,7.364,44,8.30
30,30,30,30,30,18,18,9,9,9,0,30,9,24,21,27,27,20,10,20,9,0,213.0,9.682,197.0,8.955,44,9.32
30,30,30,27,30,16,18,9,9,9,0,24,7,15,21,15,15,0,9,18,9,0,208.0,9.455,133.0,6.045,42,0
30,30,30,30,30,18,16,10,9,8,0,21,7,18,15,18,12,14,6,16,9,0,211.0,9.591,136.0,6.182,44,7.89
30,30,30,30,30,18,18,9,9,9,0,24,6,12,18,18,18,18,8,20,8,0,213.0,9.682,150.0,6.818,44,8.25
24,27,30,27,30,18,12,9,9,8,0,24,8,18,18,21,18,18,9,18,9,0,194.0,8.818,161.0,7.318,44,8.07
30,30,30,30,30,16,20,10,10,10,0,27,10,24,24,30,27,20,9,20,10,0,216.0,9.818,201.0,9.136,44,9.48
30,27,30,21,30,18,18,9,9,10,0,21,8,21,21,21,15,14,0,20,7,0,202.0,9.182,148.0,6.727,43,0
30,30,27,27,30,18,20,10,9,9,0,27,9,21,21,21,18,18,10,18,9,0,210.0,9.545,172.0,7.818,44,8.68
30,30,30,30,30,18,18,10,9,9,0,30,10,27,21,24,24,14,9,18,10,0,214.0,9.727,187.0,8.5,44,9.11
27,30,30,27,30,18,16,10,10,9,0,27,8,12,15,21,18,16,8,18,9,0,207.0,9.409,152.0,6.909,44,8.16
30,30,30,27,30,18,16,9,9,8,0,21,9,21,18,27,21,20,9,18,9,0,207.0,9.409,173.0,7.864,44,8.64
30,30,30,30,30,20,18,9,10,10,0,30,9,27,24,24,27,16,9,18,9,0,217.0,9.864,193.0,8.773,44,9.32
27,30,30,27,30,18,18,9,9,9,0,24,10,27,30,27,27,20,9,18,10,0,207.0,9.409,202.0,9.182,44,9.30
30,30,30,27,30,16,18,10,10,9,0,30,9,18,21,21,24,18,10,20,9,0,210.0,9.545,180.0,8.182,44,8.86
30,30,30,27,30,18,16,9,10,9,0,30,10,21,24,24,24,18,9,20,10,0,209.0,9.5,190.0,8.636,44,9.07
30,30,30,30,30,16,18,10,10,9,0,21,7,18,18,24,24,18,9,18,10,0,213.0,9.682,167.0,7.591,44,8.64
27,30,24,24,30,18,16,9,9,9,0,21,7,21,21,21,18,18,9,18,10,0,196.0,8.909,164.0,7.455,44,8.18
30,30,30,30,30,12,14,9,10,9,0,30,9,18,21,24,21,14,9,18,8,0,204.0,9.273,172.0,7.818,44,8.55
30,30,30,30,30,18,20,9,9,9,0,27,7,24,24,24,21,18,9,20,10,0,215.0,9.773,184.0,8.364,44,9.07
30,30,27,30,30,18,18,9,9,9,0,30,9,18,21,24,24,18,8,20,9,0,210.0,9.545,181.0,8.227,44,8.89
27,30,24,24,30,18,16,9,9,9,0,0,8,0,0,0,0,14,7,18,10,0,196.0,8.909,57.0,2.591,29,0
30,30,30,27,30,18,20,10,10,9,0,30,9,21,21,27,24,20,9,18,10,0,214.0,9.727,189.0,8.591,44,9.16
30,30,30,27,30,18,16,9,9,9,0,18,7,21,21,15,21,14,8,18,8,0,208.0,9.455,151.0,6.864,44,8.16
